ISO,year,Buildingblock,Module,Policy,Policytype,Value
GBR,2019,Sectoral,Electricity,ETS_E,MBI,8
GBR,2019,Sectoral,Electricity,ExciseTaxes_E,MBI,.
GBR,2019,Sectoral,Electricity,FFS_E,MBI,0
GBR,2019,Sectoral,Electricity,FiT,MBI,4.25
GBR,2019,Sectoral,Electricity,PlanningRenewablesExpansion,NMBI,10
GBR,2019,Sectoral,Electricity,RECs,MBI,10
GBR,2020,Sectoral,Electricity,AirEmissionStandards,NMBI,6
GBR,2020,Sectoral,Electricity,Auction,MBI,0
GBR,2020,Sectoral,Electricity,BanPhaseOutCoal,NMBI,5.25
GBR,2020,Sectoral,Electricity,CarbonTax_E,MBI,0
GBR,2020,Sectoral,Electricity,ETS_E,MBI,8.5
GBR,2020,Sectoral,Electricity,ExciseTaxes_E,MBI,.
GBR,2020,Sectoral,Electricity,FFS_E,MBI,0
GBR,2020,Sectoral,Electricity,FiT,MBI,4.25
GBR,2020,Sectoral,Electricity,PlanningRenewablesExpansion,NMBI,10
GBR,2020,Sectoral,Electricity,RECs,MBI,10
